23907,20150101,2.423,-98.08,30.62,2.2,-0.6,0.8,0.9,7.0,1.47 C,3.7,1.1,2.5,99.9,85.4,97.2,0.369,0.308,-99.000,-99.000,-99.000,7.0,8.1,-9999.0,-9999.0,-9999.0
23907,20150102,2.423,-98.08,30.62,3.5,1.3,2.4,2.2,10.2,1.43 C,4.9,2.3,3.1,100.0,98.8,99.8,0.391,0.327,-99.000,-99.000,-99.000,7.1,7.9,-9999.0,-9999.0,-9999.0
23907,20150103,2.423,-98.08,30.62,15.9,2.3,9.1,7.5,3.1,11.00 C,16.4,2.9,7.3,100.0,34.8,73.7,0.450,0.397,-99.000,-99.000,-99.000,7.6,7.9,-9999.0,-9999.0,-9999.0
23907,20150104,2.423,-98.08,30.62,9.2,-1.3,3.9,4.2,0.0,13.24 C,12.4,-0.5,4.9,82.0,40.6,61.7,0.414,0.352,-99.000,-99.000,-99.000,7.3,7.9,-9999.0,-9999.0,-9999.0
23907,20150105,2.423,-98.08,30.62,10.9,-3.7,3.6,2.6,0.0,13.37 C,14.7,-3.0,3.8,77.9,33.3,57.4,0.399,0.340,-99.000,-99.000,-99.000,6.3,7.0,-9999.0,-9999.0,-9999.0
23907,20150106,2.423,-98.08,30.62,20.2,2.9,11.6,10.9,0.0,12.90 C,22.0,1.6,9.9,67.7,30.2,49.3,0.395,0.335,-99.000,-99.000,-99.000,8.0,8.0,-9999.0,-9999.0,-9999.0
23907,20150107,2.423,-98.08,30.62,10.9,-3.4,3.8,4.5,0.0,12.68 C,12.4,-2.1,5.5,82.7,36.5,55.7,0.387,0.328,-99.000,-99.000,-99.000,7.6,8.3,-9999.0,-9999.0,-9999.0
23907,20150108,2.423,-98.08,30.62,0.6,-7.9,-3.6,-3.3,0.0,4.98 C,3.9,-4.8,-0.5,57.7,37.6,48.1,0.372,0.316,-99.000,-99.000,-99.000,4.7,6.1,-9999.0,-9999.0,-9999.0
23907,20150109,2.423,-98.08,30.62,2.0,0.1,1.0,0.8,0.0,2.52 C,4.1,1.2,2.5,87.8,48.9,64.4,0.368,0.312,-99.000,-99.000,-99.000,5.4,6.2,-9999.0,-9999.0,-9999.0
23907,20150110,2.423,-98.08,30.62,0.5,-2.0,-0.8,-0.6,3.9,2.11 C,2.5,-0.1,1.4,99.9,47.7,85.8,0.373,0.314,-99.000,-99.000,-99.000,5.1,6.0,-9999.0,-9999.0,-9999.0
